anno;mese;Acqua minerale (cl. 900);Birra nazionale (cl. 100);Biscotti frollini (gr. 1000);Burro (gr. 1000);Caffè tostato (gr. 1000);Carne fresca bovino adulto. primo taglio (gr. 1000);Carne fresca suina con osso (gr. 1000);Farina di frumento (gr. 1000);Filetti di platessa surgelati (gr. 1000);Latte fresco (cl. 100);Merenda preconfezionata (gr. 1000);Olio di semi di girasole (cl. 100);Olio extra vergine di oliva (cl. 100);Orate fresche di allevamento (gr. 1000);Pane (gr. 1000);Parmigiano Reggiano (gr. 1000);Pasta di semola di grano duro (gr. 1000);Pollo fresco (gr. 1000);Piselli surgelati (gr. 1000);Pomodori pelati (gr. 1000);Prosciutto cotto (gr. 1000);Prosciutto crudo (gr. 1000);Riso (gr. 1000);Stracchino o crescenza (gr. 1000);Succo di frutta (cl. 100);Tonno in olio d'oliva (gr. 1000);Uova di gallina (pz. 6);Vino da tavola (cl. 100);Yogurt (gr. 125);Zucchero (gr. 1000)
2011;Settembre;2.54;1.87;4.30;10.03;13.12;16.72;7.41;0.81;15.55;1.75;7.27;2.27;5.09;14.10;3.27;19.44;1.72;4.56;4.17;1.96;25.13;28.77;2.49;11.54;1.60;12.73;1.59;3.24;0.56;1.16
2011;Ottobre;2.54;1.87;4.30;9.95;13.06;16.72;7.43;0.82;15.55;1.75;7.04;2.26;5.08;13.95;3.27;19.46;1.72;4.58;4.37;1.93;25.13;28.82;2.49;11.66;1.60;12.70;1.58;3.25;0.56;1.16
2011;Novembre;2.54;1.88;4.73;9.93;13.42;16.72;7.49;0.81;15.12;1.65;7.04;2.27;5.08;13.48;3.24;19.34;1.73;4.58;4.10;1.93;25.02;28.90;2.49;11.36;1.59;12.72;1.57;3.33;0.55;1.16
2011;Dicembre;2.50;1.88;4.73;10.12;13.65;16.78;7.53;0.80;15.22;1.62;7.04;2.27;5.06;12.73;3.27;19.24;1.72;4.56;4.20;1.93;25.02;28.52;2.48;11.15;1.59;13.03;1.57;3.43;0.55;1.16
2012;Gennaio;2.50;1.89;4.73;10.19;13.65;16.83;7.58;0.80;14.10;1.61;7.07;2.28;5.09;13.40;3.26;19.47;1.72;4.52;4.15;1.93;25.02;28.52;2.49;11.18;1.59;13.27;1.56;3.36;0.55;1.16
2012;Febbraio;2.48;1.90;4.78;10.17;13.70;16.88;7.32;0.81;14.21;1.60;7.07;2.25;5.21;13.61;3.26;19.44;1.72;4.51;4.23;1.92;25.08;28.73;2.50;11.34;1.59;13.83;1.56;3.22;0.55;1.16
2012;Marzo;2.49;1.91;4.53;10.32;13.78;16.92;7.36;0.82;13.16;1.56;7.07;2.24;5.30;13.87;3.23;19.63;1.72;4.50;4.19;1.94;25.08;28.73;2.49;11.34;1.59;13.97;1.58;3.35;0.56;1.15
2012;Aprile;2.49;1.90;4.53;10.20;13.81;16.96;7.36;0.81;13.25;1.56;7.14;2.24;5.43;13.59;3.23;19.53;1.75;4.54;4.30;1.89;25.17;28.76;2.47;11.30;1.60;14.09;1.64;3.36;0.55;1.15
2012;Maggio;2.52;1.90;4.56;10.26;13.91;16.97;7.30;0.81;13.26;1.58;7.14;2.26;5.36;13.10;3.23;19.76;1.76;4.56;4.31;1.86;25.17;28.92;2.48;11.61;1.59;14.07;1.64;3.37;0.56;1.15
2012;Giugno;2.52;1.92;4.57;10.38;14.00;16.97;7.16;0.82;13.26;1.61;7.20;2.26;5.43;13.56;3.23;19.90;1.76;4.56;4.30;1.86;25.17;28.98;2.41;11.49;1.60;14.28;1.64;3.38;0.56;1.15
2012;Luglio;2.52;1.92;4.57;10.51;13.91;16.97;7.18;0.81;13.26;1.59;7.19;2.23;5.43;13.01;3.23;19.90;1.75;4.60;4.33;1.86;25.17;28.92;2.41;11.42;1.59;14.03;1.65;3.48;0.57;1.14
2012;Agosto;2.52;1.92;4.58;10.55;14.07;16.97;7.22;0.80;13.26;1.58;7.19;2.23;5.37;13.84;3.23;19.90;1.75;4.61;4.33;1.86;25.17;28.92;2.42;11.45;1.59;14.10;1.66;3.53;0.57;1.14
2012;Settembre;2.52;1.91;4.57;10.66;14.06;16.97;7.27;0.81;13.27;1.57;7.19;2.23;5.33;13.21;3.25;19.90;1.75;4.64;4.32;1.87;25.17;29.00;2.41;11.35;1.59;13.93;1.66;3.55;0.56;1.13
2012;Ottobre;2.49;1.92;4.47;10.68;14.06;17.02;7.27;0.81;13.27;1.58;7.19;2.23;5.38;13.45;3.26;19.58;1.76;4.66;4.19;1.87;25.64;29.35;2.41;11.50;1.59;13.84;1.67;3.60;0.56;1.13
2012;Dicembre;2.50;1.88;4.73;10.12;13.65;16.78;7.53;0.80;15.22;1.62;7.04;2.27;5.06;12.73;3.27;19.24;1.72;4.56;4.20;1.93;25.02;28.52;2.48;11.15;1.59;13.03;1.57;3.43;0.55;1.16
